bior1.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RFC;46;46;42.25;44.25;45.25;39;42.5;42;44.75;39.25;44.25;48.25;40.75;46.75;47;39.25;44.75;46.25;53.5;47.25;44.25;50.25;48.5;46.25;46.5;45.25;47.5;47.5;45.75;43.5;40.75;45.5;44.75;45.75;44.5;48;43.25;42.75;38.75;45.5;43.25;47;47.75;48.5;45.25;42.25;44;48.25;45;45.5;44.5;48;40.5;44.25;42.5;44.5;45.25;43;41.5;45.5;50.25;43;46.25;47;46.75;47.25;42;41;47.25;42.25;45.25;44.5;49.25;41.75;43.5;46;43.5;45.75;44.5;42.75;42.5;43.75;46.75;45;49.5;46.5;43;39.5;49;46.75;45.5;44.25;43.25;44.25;47.75;43.25;44.5;49.5;40.5;49.5
KNN;80.75;78.75;77;79.5;82.25;76;80.5;79.5;80.25;79.75;79.25;79;79.25;79.25;79;79;80;76.75;80.5;77.5;77.5;77.5;79.5;79.25;80.25;81;81;74.5;81;76.5;77;79;79.75;80.25;80;75.5;79;78.25;76.25;80;79.75;79.25;77.5;78.75;73.5;79.5;78;78.5;77.75;79.75;82.25;78.75;78.25;78.5;76.75;76.5;78;75.25;79.75;80;79.75;76.5;80.75;79.75;76.5;77;80.75;76;79.75;80.75;80.75;80;75.25;76.5;79.5;78.75;77.5;79.25;77.75;80.25;78.5;78.5;82.5;77.5;76.25;78.25;76.5;76.25;78.75;83.25;78.75;77.75;77;76.25;77.75;77.25;77;80.5;79.5;81.75
GNB;64;63.25;64.25;61;65;61;63;64;66;66;63.25;64.25;63;63.25;66;63.25;64.75;61.75;66.75;63.5;62.75;61.75;62.5;68;68;65.5;61.5;61.25;67;63.5;63.25;58.75;65;61.75;61;65;62.75;63.5;62.25;64;65.5;60.5;62;62.25;62.25;62;62;61.75;63;59.5;66;61;66.25;63.75;63.25;62.5;65.5;62.75;66.75;67.75;65.5;58;67;63.75;63;61;61;64.5;65;62;64.75;61.25;61.25;59.5;60.75;65.75;60;63.25;62;60.75;62.5;63;66.25;68.25;62.75;64;61.75;63.75;67.75;65.25;64.25;63;63.75;63.5;63.25;59.5;62.5;67;66;67
SVM;9.5;10;7.75;7.5;5.5;6;8.5;9.5;7.25;5.5;7;7;10.75;4;5.25;7;7.5;7;10.75;7;9;6.25;4.25;8.25;4;5.75;7;6.5;5;6.25;6.75;5;4.75;7.75;3.5;5.25;8.25;5.5;6.25;6.5;4;3.75;6.5;5.25;7;3;8.25;7.75;8.5;7.25;4.25;6.5;6;10.5;7.5;8;6.75;3.75;1.75;5.25;6.5;5.75;4;9.5;12.25;8.25;10;9.5;7;6.75;8.5;4;7.5;10.75;6;9.25;8;6.25;6.25;7.75;7.25;7.5;2.5;8;7.75;7.75;9.25;5.25;6.75;9.25;7.5;5;4.75;8;10.5;8.75;7.25;10.75;5;10.5
bior1.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RFC;40.75;38.75;39.75;44.5;43.5;42.75;43.25;45.75;39;44.25;42.75;45.5;44;42.5;42.5;43.25;45.5;38;45.5;44;42.25;39.75;43.5;43.5;44.75;47.75;40.75;39.75;41.75;43.5;47.75;43.25;43.75;43.25;43.25;42;38.75;41.5;41.75;37;43.75;42.25;44.5;43.75;43;42.75;42.5;39.75;46.25;47.25;42.75;39.5;40.5;42.5;39.75;39.75;42;37.25;40.25;39.75;43.5;40.25;47;41.5;42.75;45.25;42.25;44;45.75;44;38.75;42;37.5;41.75;41.75;39.5;38;41.5;38.75;42.5;44.5;44.5;47.5;46.5;38.25;45.25;44.5;43.75;44.75;46;47;44.25;46.25;41.5;43.75;40;42;41;43.25;44.25
KNN;75.25;75.5;75.25;76.25;75.5;73.25;75.5;72;75.5;77.75;77.25;73.75;73.25;73.5;75.25;74.25;77;71;74;73.75;75.25;76.25;74;75;76.5;75.5;78.75;69.75;77;70.5;74;75.25;73.25;74;75.25;72.25;75.75;73.25;72.5;75.5;76.5;77.25;72;75.75;73;73.75;74.5;73.75;75.5;75.75;76.5;77.5;75;75.25;74.25;74;75.75;74.5;74;75.75;73.75;71.25;75;74.25;74.5;74.75;76.5;75.75;74.5;76.5;76.75;77.75;72;72.5;75.5;74.25;75.25;75;72.5;74.75;75.5;74;79.75;74;74;76;70.75;74.25;76.5;79.75;75;73.5;76.75;75;75;71.5;73.75;80.5;72.75;77
GNB;64.75;61.25;61.75;61.25;63.75;61;66.75;63.5;64.25;61.25;63.5;60.25;65;62;65.5;61.75;63.75;64;65.25;62.5;60.25;57.25;60.5;60.5;64.5;66;62.25;60;62;65;59;58.75;61.5;62.25;63.5;65.25;64.25;60;60.25;64;61.5;60.25;58.25;62.75;61.75;60;57.75;56;62.5;59;58.25;58.75;61;61;63.5;63.75;64.25;57.75;61.25;64.25;70.5;55.5;64;57.25;64;61.5;61;63.25;62;63.5;60.75;56.5;60.75;59.75;61.25;65.25;59.5;60.25;57.75;59.25;61;63.25;62.5;66.75;60.25;62.25;61.5;59.75;67;63.75;63;61;57;64;65.25;58.5;61.75;61.75;63.5;67.75
SVM;7;3.25;6.5;6.75;8.25;4.25;5.25;3.5;5;5;6.75;4.75;9.25;7;9.5;7.25;4;5.75;5;4.75;8.5;9;6;4.5;4.25;8.25;5;6.25;7.25;5.5;5.25;7;5.25;2.5;8;6;4.75;3;4.75;5.25;5;9.25;9.5;3.25;3.5;7.5;6;8.5;5.75;6.75;6.5;4.25;4;4.75;6.5;7.75;3.25;4.25;2.75;6.25;4.5;5.75;8.5;4.25;5;5;4.75;6.25;3.75;6;4;5.75;2;8.5;5.25;5.5;7.5;6;5.75;5.75;7;4;7;5.25;4;6;3.5;7;3.5;6.25;5;5;8.25;6.5;3.75;12.25;9.75;7;6.25;5.5
bior1.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
