bior1.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RFC;62.5;63.25;63;58.75;64.75;65.25;66;63.25;62.5;64.75;62.5;60;64.75;64.75;63;63.5;67.25;58.75;60.75;64;63.75;63.25;66.5;66;61.75;65.75;64.75;61;62;62.75;58;59.75;62.5;62;62.25;61.75;65.75;62.5;68;65;62.25;59.25;62.25;64.75;62.25;63;62.5;61.75;61.5;62.75;66.5;62.5;62.5;64.25;60.5;61.5;62.25;59;65.25;64.75;65;63;62.75;61.5;60.75;60.25;64.25;60.75;64.5;61.5;64.5;63.75;59.5;59.25;65.25;67.75;62.75;65;59.75;60.5;59.5;62.75;61.75;63.25;65;64.75;58.5;63.75;62;63.5;61.75;61;62.25;63;61;61.5;67;64;62;61.75
KNN;79.5;78.75;76.25;78.5;81.25;78;82;81.25;77.25;81.75;79.75;78.25;80;79.75;79.75;76.5;80.75;77.25;78;78.25;77.5;77.25;80.5;79;81.25;80.5;80.25;78.5;80;76.5;79;78.5;78.25;80.5;80.25;77;79.25;80.25;77.75;79.25;80;78;78;82;75.25;79.25;79.5;78.75;80.75;78.25;81.5;79.25;80;78.75;78.25;79.25;79.25;75.5;79.25;79;82.75;78.5;78.75;79.25;75.5;76.5;82.25;77.5;80.25;79.5;82;81.5;79.25;77.25;78.75;81.75;76.75;80.75;75;80.5;78.75;78.75;82;79.25;79.25;81.5;76;76.75;79;83.75;79.25;76;81.5;79;80.25;76.75;77;81;77.75;79.25
GNB;65.25;68.25;64.25;67;73;65.5;72;70;70.25;75.75;69.25;67;70.25;71;72.25;67;73.75;65.5;69.25;68.25;68.5;66;67.25;69.75;72.5;70.5;68;68.25;72.5;71.5;70;67.25;70.5;69.5;65.25;68.75;69;70.25;69.25;71;67.75;66.25;67;71.5;67.75;67.25;69.75;69.75;74;70.75;73;66.75;74;66.5;69.5;67.25;67.75;65.75;73.25;64.5;73.5;66.5;71.75;65.5;67.75;69.25;71;67.5;71;68.75;71;69;66;66.25;70.75;72.5;67.5;71.25;65.75;66.25;72.5;68.5;71;71.75;66.75;69.25;70.25;69.75;73;72;69.5;68.75;68.5;73;70.75;66.75;67.75;71.5;71.75;74
SVM;61.75;65.75;63.5;63.5;59;62;65.25;57.25;66;59;62.5;64.75;66;60.75;67;58.5;66;62.75;62.75;66.5;64;41.5;66.75;62.5;63.75;65.25;46.5;58.75;61.5;61.75;57.75;58.75;53.5;66.25;48.75;65.75;64;67.25;63.75;64.25;41.5;59.5;62;62.5;65.5;54.75;61.5;64.5;63.5;61.25;63;65;59.25;66;67.75;62.75;62.5;66;62.5;60.5;65.75;59;57;58.5;54.75;63.5;68.25;62;51;58.75;61.25;55.5;59;61.75;57.5;58.75;64.25;48.25;62.5;61.75;64.5;63;61.25;46.5;61;64.75;53.25;59;63.25;48.75;59.75;61.5;62.25;65.75;59.5;46;56.25;65;58;61.5
bior3.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RFC;21.5;25.25;20.75;24.25;22.5;24;24.25;22.75;24.5;21.5;24.5;18.75;25;22.25;25.25;22;25.5;22;23.75;20.75;20.5;23;25;23.5;22.75;21.5;23.25;23.75;22.75;22.5;22.75;25;19.25;23.25;21.25;26.75;19.5;21.25;22.5;20.5;22.75;23;25.5;24.25;24.75;21.75;20.75;23.25;24.25;24;20;24.75;23.5;21;22.75;23.75;23.75;19.25;23.25;20.25;20.5;25;24.5;24.25;26;22.25;24.5;22.75;24;23.25;26.75;20.75;21.25;21.5;20.25;25;24;18.75;18.5;20.5;21.5;23.5;26;21.75;23;25.5;24.75;23;25;20;22.5;21.25;24.75;20;21.25;23.25;25.75;26;21;24.5
KNN;23.75;19.5;20;23;22.25;19.75;23.25;20.5;21.25;21.25;20.5;22.5;22.5;22.5;22.25;22.75;22.25;20.75;22;21;20.5;22.25;21.75;22.5;24;22.75;22.25;20;23.5;19.5;21.75;20.25;23.5;24.75;23.75;20.75;22;23.5;22.25;24.5;22.75;26.75;23;22.75;23.5;22;22.75;22.25;27;19.75;21.5;19;23.5;23;21.5;19.75;20.75;21.75;23.75;22.75;23.25;21.25;20.5;20.75;20.25;23.25;23.25;20;22;23;22.25;23;21.75;20.5;21.25;22.75;23;22;22.75;22;25.5;22.25;23.75;24.5;24.75;21.75;21.5;23.75;24.5;22;23.25;22.75;23.5;20.5;26.75;20;24;22.25;24.75;21.25
GNB;43;42.25;42;41.75;37;41.75;43.5;45;41.5;44.25;42;44.5;44.5;41;42.25;40.25;42.25;45.25;46.25;42.75;43;42;40.75;45.5;44;43.5;41.5;40.75;44.75;42.5;43.25;39;41;40.25;46.25;45;41;40;44;42.5;40;42.5;42;45.25;38;44.75;42;42.25;46.5;43;42.75;42;42.5;43.5;44;42.75;41.75;44.75;42.75;42.25;41.5;44.75;43;43.25;42.5;42.75;42;43.5;44.25;38.25;43;39.25;39.25;40;45;44;40.5;44.75;40.5;42.75;48.25;41.25;43.5;45.25;38.25;40.5;42.25;43.5;44.75;40.25;44.25;42.25;46;38.25;44.5;42;38.75;42;42;39.25
SVM;31.25;31.75;34.25;29.75;33.75;34.5;33.25;33.5;30.25;29.5;32;34.75;37.25;36.25;34.25;29.5;30.5;30.25;30.75;32.75;33;35;31.75;31.75;33;32.75;30.5;32.5;32.25;35.25;35.5;32.75;32.5;31;29.5;34.5;31.75;36.75;33.5;35.75;31.25;34.5;32;34.25;33;30.5;33.25;25.75;34;31;32.75;27.25;30;36.25;33.75;33;33;31.75;31.75;34.75;33.75;32.5;34.25;34.75;30.5;29;31.25;30.5;35.25;35.25;30.75;31.75;30.75;35;30.25;32.25;33.25;31;31;31.25;27.25;33.25;30.75;29.25;29;37.5;29.25;30.5;35;28.25;31;32.75;33;31.25;31.25;32;29.5;37.25;34.5;30.5
db1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RFC;64.5;61.25;63;61.25;67.75;61.5;68;66.75;62.5;66.75;63.5;61.75;65.75;63.25;69.75;60;64.75;60.5;68;61.75;62;61.25;65.75;65.25;64.5;62.5;67;56.75;60;59.75;64.75;61.25;60.75;63.25;61;65.25;64;62.25;58;63.75;66.25;61.5;62.75;65.25;61;63.5;62;61.25;63;61.25;66;62.75;67.75;65.25;66.5;62;64.5;62.5;60.25;64.25;63;68;63.5;61;61;61.5;59.75;62.5;64.25;61.25;58.75;60.25;62;65.5;63.75;67.25;61;61.75;61;60.5;61.25;60.75;61.75;67.75;63.5;64;62;63.25;62.75;64.25;63.5;62.5;65.25;65.25;62.25;62.75;63.75;65;62.25;64
KNN;79.5;78.75;76.25;78.5;81.25;78;82;81.25;77.25;81.75;79.75;78.25;80;79.75;79.75;76.5;80.75;77.25;78;78.25;77.5;77.25;80.5;79;81.25;80.5;80.25;78.5;80;76.5;79;78.5;78.25;80.5;80.25;77;79.25;80.25;77.75;79.25;80;78;78;82;75.25;79.25;79.5;78.75;80.75;78.25;81.5;79.25;80;78.75;78.25;79.25;79.25;75.5;79.25;79;82.75;78.5;78.75;79.25;75.5;76.5;82.25;77.5;80.25;79.5;82;81.5;79.25;77.25;78.75;81.75;76.75;80.75;75;80.5;78.75;78.75;82;79.25;79.25;81.5;76;76.75;79;83.75;79.25;76;81.5;79;80.25;76.75;77;81;77.75;79.25
GNB;65.25;68.25;64.25;67;73;65.5;72;70;70.25;75.75;69.25;67;70.25;71;72.25;67;73.75;65.5;69.25;68.25;68.5;66;67.25;69.75;72.5;70.5;68;68.25;72.5;71.5;70;67.25;70.5;69.5;65.25;68.75;69;70.25;69.25;71;67.75;66.25;67;71.5;67.75;67.25;69.75;69.75;74;70.75;73;66.75;74;66.5;69.5;67.25;67.75;65.75;73.25;64.5;73.5;66.5;71.75;65.5;67.75;69.25;71;67.5;71;68.75;71;69;66;66.25;70.75;72.5;67.5;71.25;65.75;66.25;72.5;68.5;71;71.75;66.75;69.25;70.25;69.75;73;72;69.5;68.75;68.5;73;70.75;66.75;67.75;71.5;71.75;74
SVM;66;62.5;66;63;62;64;63.75;65.25;60.5;58.75;63.25;66;62;62;65.5;60.5;65;63.5;57.5;63;37.75;57.25;66;61.5;68;66.5;49;49;62.75;60.25;58.75;45;60.5;62.5;61.25;44.75;64.75;66.5;53.5;62.75;63.75;61.25;54.25;55.75;63.25;58.5;61;65.25;65.75;49.25;61.75;63.25;55.25;62.75;44;64.5;60;48.75;55.5;58.25;64.75;59.25;63.75;52;61.5;64.25;66.25;62;59.25;58.75;63;63.5;62;60.75;57;53;63.25;65.25;52.25;58.5;65;64.25;58.5;66.75;63.25;65;58.5;62.5;61.75;64.5;58.5;62.5;64;52;63.25;62.25;40.75;64;61.25;63.25
db2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RFC;65.75;69.25;69.75;68.75;69.25;71.5;71.5;70;68.75;68.5;70.75;69.75;70.75;68.75;68;68;69;66.75;66.25;70.75;67.25;67;69;73.5;73.25;72;74.5;69;70;66.75;71.75;70.75;68.75;65.75;67.5;68.5;68.5;70.25;65.25;74.5;64.5;70.5;71;68;68.25;64.75;70;70.75;72;63.75;67.75;72.5;66;66.25;67.5;70;67.75;67.75;71;69.25;68;69.75;68.25;68.5;66.25;64.5;73.5;68;66.75;70.75;68;71.5;69.25;70.5;68.5;74;69.75;70;70;67.75;69.75;67.5;67.25;67.25;67.5;66.75;68.25;64.25;69.5;68.25;67.75;67;71;71.75;70.25;65;65.5;66.75;69.5;68
KNN;79.75;80;78.75;80;81.25;77.75;78.25;78;77;80;81.25;79.75;81.5;78.75;80.25;78.25;80;77.75;79;76.75;80.5;77.75;80;80.75;80;77.5;84.25;74.25;81.75;77.25;82;79.75;77.75;78.25;77;77;81.25;78.5;75.5;80;82.75;82.25;77.75;82.25;77.25;79;80.25;80.5;80.75;79.5;81;79.5;81.25;79.5;77.5;77.25;79.5;78;78;82.5;82;75.25;79.5;79.25;78.75;79;81.25;79;78.5;79;80.5;80.25;75.25;77.75;79.25;80;81;79.5;78;80.25;81.25;82;82.25;79.5;78.75;78.75;76;77.25;79.25;82.25;79;78.5;82.25;77.75;79.5;76.25;79.75;80.5;79.75;82.25
